@tick,lastViewDistance,renderedChunks,totalChunks
1,16.0,864.0,26136.0
2,16.0,864.0,26136.0
3,16.0,869.0,26136.0
4,16.0,872.0,26136.0
5,16.0,873.0,26136.0
6,16.0,876.0,26136.0
7,16.0,881.0,26136.0
8,16.0,886.0,26136.0
9,16.0,891.0,26136.0
10,16.0,898.0,26136.0
11,16.0,900.0,26136.0
12,16.0,902.0,26136.0
13,16.0,902.0,26136.0
14,16.0,902.0,26136.0
15,16.0,902.0,26136.0
16,16.0,902.0,26136.0
17,16.0,902.0,26136.0
18,16.0,902.0,26136.0
19,16.0,905.0,26136.0
20,16.0,906.0,26136.0
21,16.0,909.0,26136.0
22,16.0,909.0,26136.0
23,16.0,912.0,26136.0
24,16.0,912.0,26136.0
25,16.0,912.0,26136.0
26,16.0,912.0,26136.0
27,16.0,912.0,26136.0
28,16.0,912.0,26136.0
29,16.0,912.0,26136.0
30,16.0,912.0,26136.0
31,16.0,912.0,26136.0
32,16.0,912.0,26136.0
33,16.0,912.0,26136.0
34,16.0,912.0,26136.0
35,16.0,912.0,26136.0
36,16.0,913.0,26136.0
37,16.0,914.0,26136.0
38,16.0,915.0,26136.0
39,16.0,915.0,26136.0
40,16.0,915.0,26136.0
41,16.0,915.0,26136.0
42,16.0,915.0,26136.0
43,16.0,915.0,26136.0
44,16.0,915.0,26136.0
45,16.0,915.0,26136.0
46,16.0,915.0,26136.0
47,16.0,915.0,26136.0
48,16.0,915.0,26136.0
49,16.0,915.0,26136.0
50,16.0,915.0,26136.0
51,16.0,915.0,26136.0
52,16.0,915.0,26136.0
53,16.0,915.0,26136.0
54,16.0,915.0,26136.0
55,16.0,916.0,26136.0
56,16.0,917.0,26136.0
57,16.0,917.0,26136.0
58,16.0,917.0,26136.0
59,16.0,917.0,26136.0
60,16.0,917.0,26136.0
61,16.0,917.0,26136.0
62,16.0,917.0,26136.0
63,16.0,917.0,26136.0
64,16.0,917.0,26136.0
65,16.0,917.0,26136.0
66,16.0,917.0,26136.0
67,16.0,917.0,26136.0
68,16.0,917.0,26136.0
69,16.0,917.0,26136.0
70,16.0,917.0,26136.0
71,16.0,918.0,26136.0
72,16.0,921.0,26136.0
73,16.0,922.0,26136.0
74,16.0,924.0,26136.0
75,16.0,927.0,26136.0
