@tick,toUpload,freeBufferCount,toBatchCount
1,20.0,0.0,72.0
2,4.0,0.0,78.0
3,6.0,0.0,104.0
4,10.0,0.0,172.0
5,16.0,0.0,167.0
6,12.0,0.0,75.0
7,8.0,0.0,18.0
8,14.0,0.0,4.0
9,10.0,1.0,0.0
10,6.0,6.0,0.0
11,5.0,6.0,0.0
12,0.0,8.0,0.0
13,0.0,8.0,0.0
14,0.0,8.0,0.0
15,0.0,8.0,0.0
16,0.0,8.0,0.0
17,0.0,8.0,0.0
18,11.0,0.0,9.0
19,2.0,1.0,0.0
20,14.0,2.0,0.0
21,0.0,8.0,0.0
22,3.0,5.0,0.0
23,0.0,8.0,0.0
24,0.0,8.0,0.0
25,0.0,8.0,0.0
26,0.0,8.0,0.0
27,0.0,8.0,0.0
28,0.0,8.0,0.0
29,0.0,8.0,0.0
30,0.0,8.0,0.0
31,0.0,8.0,0.0
32,0.0,8.0,0.0
33,0.0,0.0,13.0
34,0.0,0.0,13.0
35,6.0,2.0,0.0
36,1.0,5.0,0.0
37,2.0,7.0,0.0
38,0.0,8.0,0.0
39,0.0,8.0,0.0
40,0.0,8.0,0.0
41,0.0,8.0,0.0
42,0.0,8.0,0.0
43,0.0,8.0,0.0
44,0.0,8.0,0.0
45,0.0,8.0,0.0
46,0.0,8.0,0.0
47,0.0,8.0,0.0
48,0.0,8.0,0.0
49,0.0,8.0,0.0
50,0.0,8.0,0.0
51,0.0,8.0,0.0
52,0.0,8.0,0.0
53,0.0,8.0,0.0
54,13.0,1.0,0.0
55,3.0,7.0,0.0
56,0.0,8.0,0.0
57,0.0,8.0,0.0
58,3.0,7.0,0.0
59,0.0,8.0,0.0
60,3.0,7.0,0.0
61,0.0,8.0,0.0
62,0.0,8.0,0.0
63,0.0,8.0,0.0
64,0.0,8.0,0.0
65,0.0,8.0,0.0
66,0.0,8.0,0.0
67,0.0,8.0,0.0
68,0.0,7.0,0.0
69,4.0,0.0,0.0
70,7.0,0.0,57.0
71,13.0,0.0,23.0
72,12.0,0.0,4.0
73,7.0,3.0,0.0
74,6.0,5.0,0.0
75,2.0,7.0,0.0
76,4.0,6.0,0.0
77,0.0,8.0,0.0
78,0.0,8.0,0.0
79,0.0,8.0,0.0
80,0.0,8.0,0.0
81,0.0,7.0,0.0
82,8.0,0.0,0.0
83,4.0,5.0,0.0
84,2.0,7.0,0.0
85,3.0,6.0,0.0
86,2.0,7.0,0.0
87,0.0,8.0,0.0
88,0.0,8.0,0.0
89,0.0,8.0,0.0
90,0.0,8.0,0.0
91,0.0,8.0,0.0
92,0.0,8.0,0.0
93,9.0,0.0,17.0
94,8.0,1.0,0.0
95,4.0,5.0,0.0
96,2.0,7.0,0.0
97,0.0,8.0,0.0
98,0.0,8.0,0.0
99,5.0,0.0,55.0
100,0.0,0.0,55.0
101,3.0,0.0,39.0
102,5.0,0.0,26.0
103,1.0,0.0,15.0
104,5.0,0.0,0.0
105,11.0,3.0,0.0
106,6.0,3.0,0.0
107,5.0,5.0,0.0
108,0.0,8.0,0.0
109,0.0,8.0,0.0
110,9.0,4.0,0.0
111,0.0,8.0,0.0
112,2.0,7.0,0.0
113,2.0,7.0,0.0
114,0.0,8.0,0.0
115,0.0,8.0,0.0
116,0.0,7.0,0.0
117,3.0,7.0,0.0
118,0.0,8.0,0.0
119,2.0,7.0,0.0
120,4.0,6.0,0.0
121,2.0,7.0,0.0
122,3.0,6.0,0.0
123,4.0,6.0,0.0
124,0.0,8.0,0.0
125,3.0,6.0,0.0
126,0.0,8.0,0.0
127,2.0,6.0,0.0
128,9.0,4.0,0.0
129,0.0,8.0,0.0
130,1.0,6.0,0.0
131,2.0,7.0,0.0
132,3.0,4.0,0.0
133,1.0,3.0,0.0
134,5.0,4.0,0.0
135,0.0,6.0,0.0
136,4.0,6.0,0.0
137,3.0,0.0,11.0
138,6.0,2.0,0.0
139,0.0,5.0,0.0
140,7.0,4.0,0.0
141,1.0,7.0,0.0
142,0.0,8.0,0.0
143,0.0,7.0,0.0
144,1.0,7.0,0.0
145,0.0,8.0,0.0
146,0.0,8.0,0.0
147,5.0,6.0,0.0
148,0.0,8.0,0.0
149,0.0,8.0,0.0
150,0.0,8.0,0.0
151,0.0,8.0,0.0
152,0.0,8.0,0.0
153,0.0,8.0,0.0
154,0.0,8.0,0.0
155,0.0,8.0,0.0
156,0.0,8.0,0.0
157,0.0,8.0,0.0
158,11.0,0.0,18.0
159,3.0,5.0,0.0
160,2.0,7.0,0.0
161,0.0,8.0,0.0
162,10.0,0.0,0.0
163,4.0,6.0,0.0
164,0.0,8.0,0.0
165,0.0,8.0,0.0
166,0.0,8.0,0.0
167,0.0,8.0,0.0
168,0.0,8.0,0.0
169,0.0,8.0,0.0
170,0.0,8.0,0.0
171,7.0,4.0,0.0
172,0.0,8.0,0.0
173,0.0,8.0,0.0
174,4.0,6.0,0.0
175,0.0,8.0,0.0
176,0.0,8.0,0.0
177,0.0,8.0,0.0
178,0.0,8.0,0.0
179,0.0,8.0,0.0
180,0.0,8.0,0.0
181,0.0,8.0,0.0
182,0.0,8.0,0.0
183,0.0,8.0,0.0
184,0.0,8.0,0.0
185,0.0,8.0,0.0
186,6.0,0.0,9.0
187,1.0,0.0,0.0
188,4.0,6.0,0.0
189,0.0,8.0,0.0
190,11.0,1.0,0.0
191,2.0,5.0,0.0
192,5.0,5.0,0.0
193,0.0,5.0,0.0
194,0.0,5.0,0.0
195,3.0,0.0,6.0
196,10.0,1.0,0.0
197,4.0,5.0,0.0
198,13.0,0.0,5.0
199,2.0,5.0,0.0
200,7.0,4.0,0.0
201,0.0,8.0,0.0
202,0.0,7.0,0.0
203,0.0,7.0,0.0
204,0.0,7.0,0.0
205,0.0,7.0,0.0
206,3.0,0.0,40.0
207,3.0,0.0,37.0
208,0.0,0.0,32.0
209,0.0,0.0,32.0
210,5.0,0.0,66.0
211,2.0,0.0,72.0
212,0.0,0.0,71.0
213,16.0,0.0,111.0
214,7.0,0.0,102.0
215,7.0,0.0,85.0
216,11.0,0.0,113.0
217,13.0,0.0,108.0
218,10.0,0.0,117.0
219,10.0,0.0,120.0
220,5.0,0.0,120.0
221,8.0,0.0,119.0
222,7.0,0.0,116.0
223,6.0,0.0,122.0
224,6.0,0.0,101.0
225,0.0,0.0,97.0
226,8.0,0.0,99.0
227,11.0,0.0,101.0
228,14.0,0.0,86.0
229,3.0,0.0,81.0
230,9.0,0.0,92.0
231,7.0,0.0,88.0
232,10.0,0.0,85.0
233,19.0,0.0,86.0
234,6.0,0.0,54.0
235,2.0,0.0,81.0
236,9.0,0.0,79.0
237,9.0,0.0,83.0
238,9.0,0.0,76.0
239,13.0,0.0,75.0
240,13.0,0.0,69.0
241,9.0,0.0,63.0
242,6.0,0.0,52.0
243,21.0,0.0,72.0
244,6.0,0.0,68.0
245,4.0,0.0,91.0
246,7.0,0.0,89.0
247,8.0,0.0,94.0
248,18.0,0.0,94.0
249,6.0,0.0,52.0
250,14.0,0.0,88.0
251,1.0,0.0,71.0
252,9.0,0.0,100.0
253,13.0,0.0,95.0
254,11.0,0.0,87.0
255,12.0,0.0,83.0
256,11.0,0.0,85.0
257,9.0,0.0,52.0
258,9.0,0.0,85.0
259,11.0,0.0,81.0
260,12.0,0.0,73.0
261,5.0,0.0,65.0
262,14.0,0.0,70.0
263,6.0,0.0,57.0
264,19.0,0.0,66.0
265,8.0,0.0,51.0
266,9.0,0.0,36.0
267,8.0,0.0,52.0
268,13.0,0.0,50.0
269,6.0,0.0,45.0
270,13.0,0.0,45.0
271,10.0,0.0,39.0
272,13.0,0.0,25.0
273,10.0,0.0,35.0
274,13.0,0.0,33.0
275,9.0,0.0,30.0
276,18.0,0.0,17.0
277,6.0,0.0,20.0
278,17.0,0.0,9.0
279,14.0,0.0,13.0
280,14.0,0.0,9.0
281,15.0,0.0,8.0
282,4.0,0.0,13.0
283,10.0,0.0,5.0
284,3.0,3.0,0.0
285,6.0,5.0,0.0
286,9.0,0.0,11.0
287,13.0,0.0,0.0
288,6.0,6.0,0.0
289,1.0,7.0,0.0
290,2.0,6.0,0.0
291,0.0,6.0,0.0
292,2.0,7.0,0.0
293,0.0,7.0,0.0
294,0.0,7.0,0.0
295,2.0,7.0,0.0
296,0.0,8.0,0.0
297,5.0,1.0,0.0
298,15.0,1.0,0.0
299,0.0,6.0,0.0
300,2.0,6.0,0.0
301,3.0,7.0,0.0
302,2.0,7.0,0.0
303,0.0,8.0,0.0
304,0.0,7.0,0.0
305,5.0,0.0,12.0
306,5.0,6.0,0.0
307,2.0,7.0,0.0
308,4.0,7.0,0.0
309,0.0,8.0,0.0
310,0.0,8.0,0.0
311,15.0,2.0,0.0
312,0.0,8.0,0.0
313,0.0,8.0,0.0
314,9.0,4.0,0.0
315,0.0,8.0,0.0
316,9.0,5.0,0.0
317,5.0,0.0,36.0
318,6.0,0.0,18.0
319,17.0,1.0,0.0
320,0.0,7.0,0.0
321,9.0,0.0,0.0
322,4.0,4.0,0.0
323,6.0,5.0,0.0
324,2.0,6.0,0.0
325,0.0,8.0,0.0
326,0.0,8.0,0.0
327,0.0,8.0,0.0
328,0.0,8.0,0.0
329,9.0,0.0,40.0
330,10.0,0.0,34.0
331,14.0,2.0,0.0
332,7.0,0.0,23.0
