@tick,cpu#2,cpu#1,cpu#0,cpu#7,cpu#6,cpu#5,cpu#4,cpu#3
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
37,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
38,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
39,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
40,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
41,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
42,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
43,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
44,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
45,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
46,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
47,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
48,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
49,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
50,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
51,79.3103448275862,81.03448275862068,82.75862068965517,100.0,100.0,100.0,100.0,77.19298245614034
