@tick,ticktime
1,6.6126042E7
2,2.0360208E7
3,1.8794041E7
4,1.8702875E7
5,1.1883292E7
6,1.4840834E7
7,1.1968042E7
8,1.2424875E7
9,1.6537334E7
10,1.2360041E7
11,1.1662958E7
12,1.1768291E7
13,1.4486375E7
14,2.8686625E7
15,1.1169708E7
16,1.3377375E7
17,1.3029583E7
18,1.6153292E7
19,1.6619959E7
20,1.2354791E7
21,1.0859833E7
22,1.0511E7
23,1.6663458E7
24,2.8720584E7
25,1.2548E7
26,1.3820209E7
27,1.1874417E7
28,1.1347667E7
29,1.0989541E7
30,1.833675E7
31,1.1644875E7
32,1.3093792E7
33,1.7687333E7
34,1.1148458E7
35,1.078475E7
36,1.1314667E7
37,1.5722167E7
38,1.20575E7
39,1.0420125E7
40,1.1602541E7
41,1.5950541E7
42,1.1900125E7
43,1.1593041E7
44,1.196875E7
45,1.4209584E7
46,1.197175E7
47,1.1067208E7
48,1.021775E7
49,1.5569E7
50,1.2674625E7
51,9928500.0
52,1.137025E7
53,1.6089375E7
54,1.2498208E7
55,1.6282542E7
56,1.1386208E7
57,1.3828209E7
58,1.298125E7
59,1.2131833E7
60,1.7385167E7
61,1.5911959E7
62,1.1126292E7
63,1.0615625E7
64,1.5772375E7
65,1.2419E7
66,1.0547125E7
67,1.14215E7
68,1.5002458E7
69,1.2368E7
70,1.1299625E7
71,1.0987291E7
72,1.54375E7
73,1.2410333E7
74,1.1876625E7
75,1.4002542E7
76,1.4209291E7
77,1.4955125E7
78,1.1292083E7
79,1.0441458E7
80,1.3124375E7
81,2.4821834E7
82,1.1050084E7
83,1.4574917E7
84,1.34765E7
85,1.2220125E7
86,1.12135E7
87,1.3320709E7
88,1.2956375E7
89,1.2186084E7
90,1.0677833E7
91,1.2892375E7
92,2.6612625E7
93,1.3077458E7
94,1.3655792E7
95,1.07285E7
96,1.2135208E7
97,1.124625E7
98,1.3434708E7
99,1.244625E7
100,1.7841958E7
101,1.5243875E7
102,1.2503833E7
103,1.0219E7
104,1.0686375E7
105,1.6755583E7
106,1.286875E7
107,1.2062333E7
108,1.1635292E7
109,1.4215709E7
110,2.8044E7
111,1.1981416E7
112,1.4655917E7
113,1.121825E7
114,1.1962458E7
115,1.1299834E7
116,1.41275E7
117,1.2062583E7
118,1.2250666E7
119,1.1252958E7
120,2.3303584E7
121,1.5402E7
122,1.2431583E7
123,1.4844292E7
124,1.1279958E7
125,1.5385875E7
126,1.7052333E7
127,1.1979208E7
128,1.2233E7
129,1.1741542E7
130,1.5215333E7
131,1.471075E7
132,1.2350375E7
133,1.0705292E7
134,1.3243042E7
135,1.3395917E7
136,1.2544458E7
137,1.2491125E7
138,1.3636875E7
139,1.1573875E7
140,1.2004084E7
141,1.6903708E7
142,1.6209E7
143,9910041.0
144,1.1290458E7
145,1.6240416E7
146,1.2736709E7
147,2.0171084E7
148,1.2153875E7
149,1.4995625E7
150,1.1202958E7
151,1.2913625E7
152,1.9389875E7
153,1.3248042E7
154,1.2132208E7
155,1.0800875E7
156,1.41555E7
157,1.3017167E7
158,2.8671917E7
159,1.4577792E7
160,1.061E7
161,1.2317459E7
162,1.5965958E7
163,1.2679083E7
164,1.1163042E7
165,1.0969E7
166,1.4969459E7
167,1.2677833E7
168,9750583.0
169,1.6356125E7
170,1.3282583E7
171,1.4531083E7
172,1.2644708E7
173,1.0828958E7
174,1.336525E7
175,1.2886666E7
176,1.283675E7
177,1.0192125E7
178,1.2268875E7
179,2.8207E7
