x,z,level,in_memory,status,full_status,accessible_ready,ticking_ready,entity_ticking_ready,ticket,spawning,block_entity_count,ticking_ticket,ticking_level,block_ticks,fluid_ticks
-17,-8,22,true,minecraft:full,ENTITY_TICKING,done,done,done,Ticket[start 22 (INSTANCE)] at 0,true,0,Ticket[start 22 (INSTANCE)] at 0,18,0,0
-18,-9,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -9])] at 5",true,2,no_ticket,18,0,0
-18,-8,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -8])] at 5",true,0,"Ticket[player 17 ([-18, -8])] at 0",17,0,0
-18,-7,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -7])] at 5",true,0,no_ticket,18,0,0
-17,-9,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -9])] at 5",true,1,no_ticket,18,0,0
-17,-7,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -7])] at 5",true,0,no_ticket,18,0,0
-16,-9,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -9])] at 5",true,0,no_ticket,19,0,0
-16,-8,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -8])] at 5",true,0,no_ticket,19,0,0
-16,-7,23,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -7])] at 5",true,0,no_ticket,19,0,0
-19,-10,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -10])] at 5",true,0,no_ticket,19,0,0
-19,-9,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -9])] at 5",true,0,no_ticket,18,0,0
-19,-8,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -8])] at 5",true,0,no_ticket,18,0,0
-18,-10,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -10])] at 5",true,0,no_ticket,19,0,0
-17,-10,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -10])] at 5",true,0,no_ticket,19,0,0
-19,-7,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -7])] at 5",true,0,no_ticket,18,0,0
-19,-6,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -6])] at 5",true,0,no_ticket,19,0,0
-18,-6,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -6])] at 5",true,0,no_ticket,19,0,0
-17,-6,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -6])] at 5",true,0,no_ticket,19,0,0
-16,-10,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -10])] at 5",true,0,no_ticket,19,0,4
-16,-6,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-16, -6])] at 5",true,0,no_ticket,19,0,0
-15,-10,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -10])] at 5",true,0,no_ticket,20,0,4
-15,-9,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -9])] at 5",true,3,no_ticket,20,0,0
-15,-8,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -8])] at 5",true,0,no_ticket,20,0,0
-15,-7,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -7])] at 5",true,0,no_ticket,20,0,0
-15,-6,24,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-15, -6])] at 5",true,0,no_ticket,20,0,6
-20,-11,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -11])] at 5",true,0,no_ticket,20,0,0
-20,-10,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -10])] at 5",true,0,no_ticket,19,0,0
-20,-9,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -9])] at 5",true,0,no_ticket,19,0,0
-19,-11,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-19, -11])] at 5",true,0,no_ticket,20,0,0
-18,-11,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-18, -11])] at 5",true,0,no_ticket,20,0,0
-20,-8,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -8])] at 5",true,0,no_ticket,19,0,0
-20,-7,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-20, -7])] at 5",true,0,no_ticket,19,0,0
-17,-11,25,true,minecraft:full,ENTITY_TICKING,done,done,done,"Ticket[player 31 ([-17, -11])] at 5",true,0,no_ticket,20,0,0
